t,feet,ft/s,slip,ft/s/s,amps/10,Vm,20130924_2231 Kro=10.0 Krv= 0.0 Kf=0.9 Vspec=12.0 Tspec=343.4 Wspec= 5310 Ispec=133.0 Rcom=0.013 Vbat=12.70 Rone=0.002 n=4 G=12.75 r=3.0 M=150 uk=0.70 us=1.00
0,0,0,1,20.376836,17.01098,10.403518,http://www.chiefdelphi.com/media/papers/2868
0.001,0.00001,0.020377,1,20.376836,17.01098,10.403518,
0.002,0.000041,0.040754,1,20.376836,17.01098,10.403518,
0.003,0.000092,0.061131,1,20.376836,17.01098,10.403518,
0.004,0.000163,0.081507,1,20.376836,17.01098,10.403518,
0.005,0.000255,0.101884,1,20.376836,17.01098,10.403518,
0.006,0.000367,0.122261,1,20.376836,17.01098,10.403518,
0.007,0.000499,0.142638,1,20.376836,17.01098,10.403518,
0.008,0.000652,0.163015,1,20.376836,17.01098,10.403518,
0.009,0.000825,0.183392,1,20.376836,17.01098,10.403518,
0.01,0.001019,0.203768,1,20.376836,17.01098,10.403518,
0.011,0.001233,0.224145,1,20.376836,17.01098,10.403518,
0.012,0.001467,0.244522,1,20.376836,17.01098,10.403518,
0.013,0.001722,0.264899,1,20.376836,17.01098,10.403518,
0.014,0.001997,0.285276,1,20.376836,17.01098,10.403518,
0.015,0.002292,0.305653,1,20.376836,17.01098,10.403518,
0.016,0.002608,0.326029,1,20.376836,17.01098,10.403518,
0.017,0.002944,0.346406,1,20.376836,17.01098,10.403518,
0.018,0.003301,0.366783,1,20.376836,17.01098,10.403518,
0.019,0.003678,0.38716,1,20.376836,17.01098,10.403518,
0.02,0.004075,0.407537,1,20.376836,17.01098,10.403518,
0.021,0.004493,0.427914,1,20.376836,17.01098,10.403518,
0.022,0.004931,0.44829,1,20.376836,17.01098,10.403518,
0.023,0.00539,0.468667,1,20.376836,17.01098,10.403518,
0.024,0.005869,0.489044,1,20.376836,17.01098,10.403518,
0.025,0.006368,0.509421,1,20.376836,17.01098,10.403518,
0.026,0.006887,0.529798,1,20.376836,17.01098,10.403518,
0.027,0.007427,0.550175,1,20.376836,17.01098,10.403518,
0.028,0.007988,0.570551,1,20.376836,17.01098,10.403518,
0.029,0.008568,0.590928,1,20.376836,17.01098,10.403518,
0.03,0.00917,0.611305,1,20.376836,17.01098,10.403518,
0.031,0.009791,0.631682,1,20.376836,17.01098,10.403518,
0.032,0.010433,0.652059,1,20.376836,17.01098,10.403518,
0.033,0.011095,0.672436,1,20.376836,17.01098,10.403518,
0.034,0.011778,0.692812,1,20.376836,17.01098,10.403518,
0.035,0.012481,0.713189,1,20.376836,17.01098,10.403518,
0.036,0.013204,0.733566,1,20.376836,17.01098,10.403518,
0.037,0.013948,0.753943,1,20.376836,17.01098,10.403518,
0.038,0.014712,0.77432,1,20.376836,17.01098,10.403518,
